City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Acari,PE,-15.4311,-74.6158,75.24,73,100,3.22,overcast clouds
340,Grindavik,IS,63.8424,-22.4338,30.2,80,75,33.38,broken clouds
341,Tselinnoye,RU,53.0833,85.6667,21.22,99,99,3.85,overcast clouds
342,Beloha,MG,-25.1667,45.05,69.08,91,46,3.87,scattered clouds
343,Fukue,JP,32.6881,128.8419,59.0,100,75,6.91,broken clouds
344,Ewa Beach,US,21.3156,-158.0072,82.4,47,20,9.22,few clouds
345,Gejiu,CN,23.306,103.1635,59.05,70,100,2.44,overcast clouds
346,Ilheus,BR,-14.7889,-39.0494,75.9,89,100,5.37,overcast clouds
347,Pemangkat,ID,1.1667,108.9667,79.56,77,91,4.27,overcast clouds
348,Faya,SA,18.3851,42.4509,62.6,82,0,2.95,clear sky
349,Kudahuvadhoo,MV,2.6708,72.8944,82.09,77,20,12.91,few clouds
