City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Kiunga,PG,74.39,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
203,Bengkulu,ID,78.91,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
205,Bouafle,CI,78.8,clear sky,6.9904,-5.7442,Hotel Zaouli
206,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
208,Geraldton,AU,75.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
214,Eyl,SO,78.37,overcast clouds,7.9803,49.8164,Amiin Hotel
217,San Felix,UY,70.0,overcast clouds,-32.3333,-58.1333,Hotel Papiros
220,Trat,TH,79.92,overcast clouds,12.5,102.5,สวนหนิง-อัศ
225,Bubaque,GW,75.51,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
228,Bandarbeyla,SO,76.91,overcast clouds,9.4942,50.8122,JABIR HOTEL
229,Sherpur,BD,74.39,clear sky,25.0188,90.0175,জামালপুর মডেল ছাত্রাবাস
230,Gladstone,AU,75.2,overcast clouds,-23.85,151.25,Highpoint International
234,Vanimo,PG,83.68,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
235,Sorong,ID,84.45,overcast clouds,-0.8833,131.25,The Waigo Hotel
236,Dubbo,AU,75.2,overcast clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
237,Taranagar,IN,71.17,clear sky,28.6709,75.0351,Jyani Plaza
239,Young,UY,70.0,scattered clouds,-32.6833,-57.6333,Posada Gira el Sol
240,Kerema,PG,77.4,overcast clouds,-7.9631,145.7785,Frena Lodge
247,Sao Filipe,CV,72.99,overcast clouds,14.8961,-24.4956,Tortuga B&B
248,Norsup,VU,85.12,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
249,Cidreira,BR,72.52,overcast clouds,-30.1811,-50.2056,Hotel Castelo
250,Arraial Do Cabo,BR,76.03,few clouds,-22.9661,-42.0278,Pousada Porto Praia
253,Daru,PG,80.91,overcast clouds,-9.0763,143.2092,Daru Lodge
255,Miraflores,MX,75.2,clear sky,19.2167,-98.8083,Hotel Mansión
262,Wewak,PG,79.47,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
263,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
264,Witu,KE,82.4,light rain,-2.3889,40.4382,New City Guest House
269,Manokwari,ID,83.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
275,Eydhafushi,MV,82.89,few clouds,5.1033,73.0708,Soneva Fushi
276,Sur,OM,84.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
277,Gushikawa,JP,71.6,overcast clouds,26.3544,127.8686,Kirari Guest House
278,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,Lindsey Hôtel
281,Trairi,BR,78.06,few clouds,-3.2778,-39.2689,janelas do mar
284,Sungairaya,ID,81.64,broken clouds,0.7,108.9,Mess P.Milu
285,Cockburn Town,TC,76.44,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
286,Mulege,MX,81.52,clear sky,26.8833,-111.9833,Casa Granada
288,Maningrida,AU,82.58,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
289,Sibolga,ID,74.89,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
291,Lorengau,PG,84.0,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
294,Sola,VU,87.8,overcast clouds,-13.8833,167.55,Leumerus Bungalows
296,Sao Jose Da Coroa Grande,BR,78.19,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
298,Isla Vista,US,71.01,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
301,Gizo,SB,85.66,light rain,-8.103,156.8419,Imagination Island
302,Atar,MR,82.11,scattered clouds,20.5169,-13.0499,Oumou Elghoura
312,Keti Bandar,PK,79.54,clear sky,24.1447,67.4497,Haji laloo memon house
315,Aguada De Pasajeros,CU,73.4,overcast clouds,22.385,-80.8508,Soles de Marti
317,Matara,LK,75.69,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
319,French Harbor,HN,78.8,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
320,Bundaberg,AU,71.6,light rain,-24.85,152.35,Takalvan Motel
328,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
330,Simpang,ID,79.05,light rain,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
334,Namatanai,PG,85.73,light rain,-3.6667,152.4333,Namatanai Hotel
335,Guider,CM,82.31,overcast clouds,9.9342,13.9486,Hotel Falaise
337,Katobu,ID,83.39,light rain,-4.9408,122.5276,La Ode Husein
339,Acari,PE,75.24,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
344,Ewa Beach,US,82.4,few clouds,21.3156,-158.0072,Uncle Junior Robert
346,Ilheus,BR,75.9,overcast clouds,-14.7889,-39.0494,Barravento Hotel
347,Pemangkat,ID,79.56,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
349,Kudahuvadhoo,MV,82.09,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
367,Teknaf,BD,78.03,overcast clouds,20.8624,92.3058,Forestry Guesthouse
368,Hervey Bay,AU,72.0,light rain,-25.2986,152.8535,Shelly Bay Resort
372,Arauca,CO,80.92,overcast clouds,7.0847,-70.7591,Hotel Verano Plaza
373,Kaeo,NZ,77.0,scattered clouds,-35.1,173.7833,Bushido Lodge
374,Nueva Italia,PY,78.8,scattered clouds,-25.6167,-57.5,Quinta Che Jazmín
375,Karratha,AU,89.69,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
379,Bida,NG,81.19,overcast clouds,9.0833,6.0167,Royal Suite
382,Dingle,PH,84.34,few clouds,10.9995,122.6711,SEGAYA PROPERTY
384,Champerico,GT,82.4,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
